"DIST_NAME","SCH_NAME","GROUP_LABEL","OFFENSE_LABEL","ARREST_NUMER","ARREST_PCT"
"Agawam","Agawam Junior High","All Students","All Offenses",1,0.2
"Boston","Dearborn 6-12 STEM Academy","All Students","All Offenses",2,0.3
"Boston","Henderson K-12 Inclusion School Upper","All Students","All Offenses",1,0.1
"Boston","Charlestown High School","All Students","All Offenses",3,0.3
"Boston","Madison Park Technical Vocational High School","All Students","All Offenses",2,0.2
"Boston","Another Course To College","All Students","All Offenses",1,0.4
"Boston","Community Academy of Science and Health","All Students","All Offenses",1,0.3
"Bourne","Bourne High School","All Students","All Offenses",1,0.2
"Brockton","Brockton High","All Students","All Offenses",1,0
"Chicopee","Chicopee High","All Students","All Offenses",1,0.1
"Granby","Granby Jr Sr High School","All Students","All Offenses",1,0.3
"Greenfield","Greenfield High","All Students","All Offenses",2,0.4
"Haverhill","Caleb Dustin Hunking School","All Students","All Offenses",1,0.1
"Haverhill","Consentino Middle School","All Students","All Offenses",1,0.1
"Haverhill","Haverhill High","All Students","All Offenses",1,0
"Holyoke","Holyoke High","All Students","All Offenses",5,0.3
"Lawrence","Lawrence High School","All Students","All Offenses",5,0.1
"Lowell","Lowell High","All Students","All Offenses",1,0
"Lynn","Classical High","All Students","All Offenses",10,0.5
"Lynn","Lynn English High","All Students","All Offenses",1,0
"Lynn","Fecteau-Leary Junior/Senior High School","All Students","All Offenses",1,0.8
"Malden","Malden High","All Students","All Offenses",1,0.1
"Mashpee","Mashpee Middle School","All Students","All Offenses",1,0.4
"Methuen","Methuen High","All Students","All Offenses",1,0.1
"Monson","Monson High School","All Students","All Offenses",1,0.3
"New Bedford","New Bedford High","All Students","All Offenses",1,0
"North Andover","North Andover High","All Students","All Offenses",1,0.1
"Pittsfield","Taconic High","All Students","All Offenses",1,0.1
"Quincy","Quincy High","All Students","All Offenses",1,0.1
"Randolph","Randolph High","All Students","All Offenses",1,0.2
"Seekonk","Seekonk High","All Students","All Offenses",1,0.2
"Sharon","Sharon Middle","All Students","All Offenses",1,0.1
"Sharon","Sharon High","All Students","All Offenses",2,0.2
"Southbridge","Southbridge High School","All Students","All Offenses",6,1.2
"Springfield","Lyceum Academy","All Students","All Offenses",3,0.7
"Springfield","Springfield Public Day Middle School","All Students","All Offenses",1,1.8
"Springfield","Springfield Middle School","All Students","All Offenses",3,8.1
"Springfield","Impact Prep at Chestnut","All Students","All Offenses",1,0.4
"Springfield","High School Of Commerce","All Students","All Offenses",2,0.1
"Springfield","Springfield Public Day High School","All Students","All Offenses",5,5.7
"Stoughton","Stoughton High","All Students","All Offenses",1,0.1
"Tewksbury","Tewksbury Memorial High","All Students","All Offenses",1,0.1
"Webster","Bartlett High School","All Students","All Offenses",1,0.2
"West Springfield","West Springfield Middle","All Students","All Offenses",1,0.1
"Worcester","North High","All Students","All Offenses",1,0.1
"Excel Academy Charter (District)","Excel Academy Charter School","All Students","All Offenses",1,0.1
"Sizer School: A North Central Charter Essential (District)","Sizer School: A North Central Charter Essential School","All Students","All Offenses",1,0.3
"Prospect Hill Academy Charter (District)","Prospect Hill Academy Charter School","All Students","All Offenses",1,0.1
"Phoenix Charter Academy (District)","Phoenix Charter Academy","All Students","All Offenses",1,0.4
"Berkshire Hills","Monument Mt Regional High","All Students","All Offenses",1,0.2
"Blackstone-Millville","Frederick W. Hartnett Middle School","All Students","All Offenses",1,0.2
"Martha's Vineyard","Martha's Vineyard Regional High","All Students","All Offenses",1,0.1
"Ralph C Mahar","Ralph C Mahar Regional","All Students","All Offenses",1,0.2
"Wachusett","Wachusett Regional High","All Students","All Offenses",1,0
"Shawsheen Valley Regional Vocational Technical","Shawsheen Valley Vocational Technical High School","All Students","All Offenses",2,0.2
